InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
25795,8568,Bag,3,2020-01-01 00:00:00.000000000,94.24,1066,India,282.71999999999997
10860,5646,Pen,1,2020-01-01 11:41:02.020673557,40.01,1074,USA,40.01
86820,1392,Mug,3,2020-01-01 23:22:04.041347115,10.13,1088,USA,30.39
64886,2787,Notebook,2,2020-01-02 11:03:06.062020673,77.48,1047,Canada,154.96
16265,8374,Pen,2,2020-01-02 22:44:08.082694231,71.83,1007,UK,143.66
92386,2138,Notebook,9,2020-01-03 10:25:10.103367789,61.8,1072,USA,556.1999999999999
47194,5741,Pen,8,2020-01-03 22:06:12.124041347,51.54,1014,Germany,412.32
97498,8418,T-shirt,1,2020-01-04 09:47:14.144714904,8.06,1031,Canada,8.06
54131,7362,Bag,4,2020-01-04 21:28:16.165388462,64.34,1052,Canada,257.36
70263,3454,Notebook,1,2020-01-05 09:09:18.186062020,44.6,1066,UK,44.6
26023,4674,Pen,1,2020-01-05 20:50:20.206735578,58.22,1003,Germany,58.22
51090,2377,Bag,4,2020-01-06 08:31:22.227409136,45.79,1029,Germany,183.16
77221,7701,Notebook,2,2020-01-06 20:12:24.248082694,96.78,1012,UK,193.56
74820,3597,Mug,3,2020-01-07 07:53:26.268756252,62.39,1020,India,187.17000000000002
10769,1141,Pen,9,2020-01-07 19:34:28.289429809,76.18,1040,Germany,685.6200000000001
69735,3659,Mug,2,2020-01-08 07:15:30.310103367,93.95,1018,India,187.9
72955,5596,T-shirt,4,2020-01-08 18:56:32.330776925,61.2,1047,India,244.8
74925,6661,Mug,1,2020-01-09 06:37:34.351450483,6.15,1085,Canada,6.15
77969,7142,Mug,2,2020-01-09 18:18:36.372124041,8.26,1062,Canada,16.52
15311,6626,Pen,5,2020-01-10 05:59:38.392797599,71.72,1019,USA,358.6
93104,9787,T-shirt,1,2020-01-10 17:40:40.413471157,31.51,1063,Canada,31.51
63707,9472,Mug,7,2020-01-11 05:21:42.434144714,60.04,1036,Germany,420.28
95305,1423,Bag,4,2020-01-11 17:02:44.454818272,24.22,1030,Germany,96.88
38693,7999,Notebook,6,2020-01-12 04:43:46.475491830,30.67,1073,India,184.02
81932,5249,Mug,8,2020-01-12 16:24:48.496165388,52.94,1017,Germany,423.52
35658,2750,T-shirt,6,2020-01-13 04:05:50.516838946,97.68,1019,Canada,586.08
